timestamp,value
608923.515158724,-176.0
608923.522850724,-176.0
608923.530542724,-176.0
608923.538234724,-176.0
608923.545926724,-176.0
608923.553618724,-176.0
608923.561310724,-176.0
608923.569002724,-176.0
608923.576694724,-176.0
608923.584386724,-176.0
608923.592078724,-176.0
608923.599770724,-176.0
608923.607462724,-176.0
608923.615154724,-176.0
608923.622846724,-176.0
608923.630538724,-176.0
608923.638230724,-176.0
608923.645922724,-176.0
608923.653614724,-176.0
608923.661306724,-176.0
608923.668998724,-176.0
608923.676690724,-176.0
608923.687055724,-164.77777099609375
608923.694747724,-139.44444274902344
608923.702439724,-97.66666412353516
608923.710131724,-59.55555725097656
608923.717823724,-27.55555534362793
608923.725515724,-4.222222328186035
608923.733207724,18.0
608923.740899724,36.11111068725586
608923.748591724,47.77777862548828
608923.756283724,51.77777862548828
608923.763975724,50.33333206176758
608923.771667724,47.0
608923.779359724,42.77777862548828
608923.787051724,32.44444274902344
608923.794743724,10.777777671813965
608923.802435724,-21.22222137451172
608923.810127724,-55.55555725097656
608923.817819724,-84.11111450195312
608923.825511724,-102.11111450195312
608923.833203724,-111.66666412353516
608923.840895724,-118.44444274902344
608923.848587724,-127.22222137451172
608923.856279724,-135.55555725097656
608923.863971724,-139.55555725097656
608923.871663724,-137.88888549804688
608923.879355724,-132.6666717529297
608923.887047724,-125.55555725097656
608923.894739724,-118.11111450195312
608923.902431724,-112.66666412353516
608923.910123724,-110.33333587646484
608923.917815724,-109.33333587646484
608923.925507724,-106.88888549804688
608923.933199724,-102.66666412353516
608923.940891724,-98.11111450195312
608923.948583724,-94.88888549804688
608923.956275724,-92.22222137451172
608923.963967724,-88.11111450195312
608923.971659724,-81.44444274902344
608923.979351724,-74.66666412353516
608923.987043724,-72.55555725097656
608923.994735724,-76.44444274902344
608924.002427724,-83.33333587646484
608924.010119724,-89.11111450195312
608924.017811724,-92.55555725097656
608924.025503724,-93.55555725097656
608924.033195724,-92.0
608924.040887724,-89.11111450195312
608924.048579724,-87.33333587646484
608924.056271724,-87.88888549804688
608924.063963724,-88.88888549804688
608924.070248443,-88.77777862548828
608924.077940443,-88.66666412353516
608924.085632443,-91.0
608924.093324443,-96.22222137451172
608924.101016443,-102.0
608924.108708443,-104.88888549804688
608924.116400443,-103.11111450195312
608924.124092443,-97.66666412353516
608924.131784443,-90.66666412353516
608924.139476443,-83.11111450195312
608924.147168443,-75.77777862548828
608924.154860443,-71.77777862548828
608924.162552443,-75.44444274902344
608924.170244443,-86.22222137451172
608924.177936443,-98.88888549804688
608924.185628443,-107.22222137451172
608924.193320443,-110.0
608924.201012443,-108.33333587646484
608924.208704443,-103.33333587646484
608924.216396443,-96.55555725097656
608924.224088443,-93.66666412353516
608924.231780443,-101.0
608924.239472443,-102.22222137451172
608924.247164443,-89.33333587646484
608924.254856443,-53.66666793823242
608924.262548443,-26.44444465637207
608924.270240443,-11.0
608924.277932443,-11.0
608924.285624443,-11.0
608924.293316443,-11.0
608924.301008443,-11.0
608924.308700443,-11.0
608924.316392443,-11.0
608924.324084443,-11.0
608924.331776443,-11.0
608924.339468443,-11.0
608924.347160443,-11.0
608924.354852443,-11.0
608924.362544443,-11.0
608924.370236443,-11.0
