timestamp,ecg,ax,ay,az,beat
1225830.828457307,-232.77777099609375,-603.4218139648438,361.61651611328125,630.5653076171875,0.0
1225830.836157685,-224.44444274902344,-602.5298461914062,360.7052917480469,635.7440795898438,0.0
1225830.843858063,-217.6666717529297,-601.82568359375,359.1221618652344,643.4201049804688,0.0
1225830.851558441,-213.44444274902344,-601.8862915039062,356.7228088378906,653.4251708984375,0.0
1225830.859258818,-209.6666717529297,-604.4830322265625,354.126220703125,660.4298095703125,0.0
1225830.866959196,-205.6666717529297,-609.9044799804688,351.45257568359375,663.977294921875,1.0
1225830.874659574,-201.55555725097656,-617.9647827148438,348.8220520019531,663.9392700195312,0.0
1225830.882359952,-198.3333282470703,-627.84375,346.3682861328125,660.3453369140625,0.0
1225830.890060330,-195.44444274902344,-637.6849365234375,343.8596496582031,655.8941040039062,0.0
1225830.897760708,-191.77777099609375,-646.0700073242188,341.34423828125,651.0903930664062,0.0
1225830.905461086,-187.22222900390625,-651.7718505859375,339.3772277832031,646.366943359375,0.0
1225830.913161464,-182.3333282470703,-654.6038208007812,338.50860595703125,642.0009765625,0.0
1225830.920861842,-176.6666717529297,-655.1895751953125,339.25482177734375,638.0593872070312,0.0
1225830.928562219,-169.55555725097656,-654.37060546875,342.0966796875,634.2777099609375,0.0
1225830.936262597,-162.11111450195312,-653.0802612304688,346.5007019042969,630.2071533203125,0.0
1225830.943962975,-158.44444274902344,-651.4442138671875,351.5751037597656,625.8642578125,0.0
1225830.951663353,-159.22222900390625,-649.0845947265625,356.3515319824219,621.6310424804688,0.0
1225830.959363731,-162.22222900390625,-645.6271362304688,359.8504943847656,618.2784423828125,0.0
1225830.967064109,-163.77777099609375,-640.8334350585938,361.3771667480469,616.9322509765625,0.0
1225830.974764487,-163.44444274902344,-635.1197509765625,360.9151306152344,617.8831176757812,0.0
1225830.982464865,-161.0,-629.2406616210938,358.5675048828125,621.1273803710938,0.0
1225830.990165243,-157.0,-623.9927978515625,354.44232177734375,626.445556640625,0.0
1225830.997865621,-152.44444274902344,-619.8088989257812,349.09246826171875,633.092529296875,0.0
1225831.005565998,-149.88888549804688,-616.562744140625,343.0651550292969,640.8577880859375,0.0
1225831.013266376,-150.55555725097656,-613.7721557617188,336.97833251953125,649.5350341796875,0.0
1225831.020966754,-153.6666717529297,-610.919189453125,331.6732177734375,658.8095092773438,0.0
1225831.028667132,-157.22222900390625,-607.8836669921875,328.0151672363281,668.5370483398438,0.0
1225831.036367510,-160.77777099609375,-605.0064086914062,326.2242431640625,678.3428955078125,0.0
1225831.044067888,-165.11111450195312,-602.9148559570312,326.3938293457031,687.6542358398438,0.0
1225831.051768266,-170.11111450195312,-602.1365966796875,328.2720031738281,695.9736328125,0.0
1225831.059468644,-173.77777099609375,-602.80224609375,331.14404296875,702.9542236328125,0.0
1225831.067169022,-174.3333282470703,-604.9937744140625,334.77984619140625,708.182373046875,0.0
1225831.074869399,-173.55555725097656,-608.4913940429688,338.99945068359375,711.76025390625,0.0
1225831.082569777,-174.6666717529297,-613.1974487304688,343.5845947265625,713.71240234375,0.0
1225831.090270155,-177.77777099609375,-619.2355346679688,348.35394287109375,713.8912353515625,0.0
1225831.097970533,-181.22222900390625,-626.3651733398438,352.802734375,712.5130615234375,0.0
1225831.105670911,-182.55555725097656,-634.0079956054688,356.36181640625,709.7233276367188,0.0
1225831.113371289,-181.55555725097656,-641.4229736328125,358.83038330078125,705.97021484375,0.0
1225831.121071667,-177.6666717529297,-647.5653686523438,360.33514404296875,701.9818115234375,0.0
1225831.128772045,-172.88888549804688,-651.2330932617188,361.16461181640625,698.3350219726562,0.0
1225831.136472423,-170.0,-652.1924438476562,361.69940185546875,695.238037109375,0.0
1225831.144172800,-168.88888549804688,-650.6734619140625,362.1177978515625,692.7862548828125,0.0
1225831.151873178,-167.88888549804688,-647.4642944335938,362.4438781738281,690.9212036132812,0.0
1225831.159573556,-168.22222900390625,-644.0313110351562,362.70166015625,689.5225830078125,0.0
1225831.167273934,-174.22222900390625,-641.3568115234375,362.86907958984375,688.6546630859375,0.0
1225831.174974312,-185.44444274902344,-639.7457275390625,362.95855712890625,688.2071533203125,0.0
1225831.182674690,-194.55555725097656,-639.1043701171875,362.99420166015625,688.0289916992188,0.0
1225831.190375068,-194.44444274902344,-639.0,363.0,688.0,0.0
1225831.198075446,-185.55555725097656,-639.0,363.0,688.0,0.0
1225831.205775824,-175.55555725097656,-639.0,363.0,688.0,0.0
1225831.213476202,-172.44444274902344,-639.0,363.0,688.0,0.0
1225831.221176579,-180.55555725097656,-639.0,363.0,688.0,0.0
1225831.228876957,-194.77777099609375,-639.0,363.0,688.0,0.0
1225831.236577335,-188.22222900390625,-639.0,363.0,688.0,0.0
1225831.244277713,-109.22222137451172,-639.0,363.0,688.0,0.0
1225831.251978091,80.55555725097656,-639.0,363.0,688.0,0.0
1225831.259678469,326.22222900390625,-639.0,363.0,688.0,0.0
1225831.267378847,458.0,-639.0,363.0,688.0,0.0
1225831.275079225,329.0,-639.0,363.0,688.0,0.0
1225831.282779603,-5.888888835906982,-639.0,363.0,688.0,0.0
1225831.290479980,-316.77777099609375,-639.0,363.0,688.0,0.0
1225831.298180358,-431.3333435058594,-639.0,363.0,688.0,0.0
1225831.305880736,-385.5555419921875,-639.0,363.0,688.0,0.0
1225831.313581114,-312.22222900390625,-639.0,363.0,688.0,0.0
1225831.321281492,-278.5555419921875,-639.0,363.0,688.0,0.0
1225831.328981870,-271.5555419921875,-639.0,363.0,688.0,0.0
1225831.336682248,-268.22222900390625,-639.0,363.0,688.0,0.0
1225831.344382626,-264.1111145019531,-639.0,363.0,688.0,0.0
1225831.352083004,-257.8888854980469,-639.0,363.0,688.0,0.0
1225831.359783381,-250.6666717529297,-639.0,363.0,688.0,0.0
1225831.367483759,-244.77777099609375,-639.0,363.0,688.0,0.0
1225831.375184137,-240.3333282470703,-639.0,363.0,688.0,0.0
1225831.382884515,-234.55555725097656,-639.0,363.0,688.0,0.0
1225831.390584893,-228.22222900390625,-638.3372192382812,359.11834716796875,687.4112548828125,0.0
1225831.398285271,-221.77777099609375,-636.4107055664062,352.12432861328125,685.65673828125,0.0
1225831.405985649,-215.0,-632.6194458007812,342.787109375,682.15966796875,0.0
1225831.413686027,-207.22222900390625,-626.8484497070312,331.6858215332031,676.4486694335938,0.0
1225831.421386405,-197.55555725097656,-620.3751831054688,327.1366271972656,669.2445678710938,0.0
1225831.429086783,-184.77777099609375,-614.2998657226562,328.0533447265625,661.2578735351562,0.0
1225831.436787160,-167.6666717529297,-609.5840454101562,333.0898132324219,653.23388671875,0.0
1225831.444487538,-146.88888549804688,-606.2174682617188,341.28021240234375,645.7064208984375,0.0
1225831.452187916,-122.77777862548828,-603.197265625,347.6335754394531,638.901611328125,0.0
1225831.459888294,-96.44444274902344,-599.5969848632812,351.9183654785156,633.1771850585938,0.0
1225831.467588672,-69.55555725097656,-594.8226318359375,354.4173583984375,628.8406372070312,0.0
1225831.475289050,-47.77777862548828,-589.4081420898438,355.15673828125,626.5264282226562,0.0
1225831.482989428,-37.88888931274414,-584.3461303710938,354.5281677246094,626.2634887695312,0.0
1225831.490689806,-42.11111068725586,-581.0487670898438,352.7317199707031,627.9389038085938,0.0
1225831.498390184,-56.33333206176758,-580.992431640625,349.4182434082031,631.5869140625,0.0
1225831.506090561,-76.11111450195312,-584.36962890625,344.3713073730469,636.798828125,0.0
1225831.513790939,-101.33333587646484,-591.3245849609375,337.36895751953125,643.8141479492188,0.0
1225831.521491317,-131.77777099609375,-601.3538818359375,328.6752014160156,652.7892456054688,0.0
1225831.529191695,-164.11111450195312,-613.25537109375,319.3106994628906,663.51171875,0.0
1225831.536892073,-193.22222900390625,-626.1395874023438,310.6455993652344,675.76513671875,0.0
1225831.544592451,-216.55555725097656,-638.8213500976562,303.6698303222656,688.6572265625,0.0
1225831.552292829,-234.11111450195312,-649.7260131835938,299.20782470703125,701.06298828125,0.0
1225831.559993207,-247.44444274902344,-657.5457763671875,297.5387268066406,712.0510864257812,0.0
1225831.567693585,-257.5555419921875,-661.5843505859375,298.13623046875,721.12548828125,0.0
1225831.575393962,-264.3333435058594,-660.739501953125,300.97412109375,727.951171875,0.0
1225831.583094340,-266.77777099609375,-655.202392578125,305.72601318359375,732.7946166992188,0.0
1225831.590794718,-265.6666564941406,-646.0073852539062,312.0029296875,735.8211059570312,0.0
1225831.598495096,-264.0,-634.3549194335938,319.7037658691406,736.700439453125,0.0
1225831.606195474,-263.5555419921875,-622.552734375,328.1072998046875,735.4566650390625,0.0
1225831.613895852,-262.8888854980469,-612.5466918945312,336.3810119628906,731.7308349609375,0.0
